[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,TS101218AU, FEPC(200NM)/AU/SI, DEPOS. AT 180C, MVSH AT 100K
FILEOPENTIME,10446369.53,12/28/2010,4:36 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.2.4 Build 1,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,TS101218Au, FePc 200nm, 180C,SAMPLE_MATERIAL
INFO,MvsH measurement  at different temperatures,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,34.04,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,10446438.33,99.9699936,9543.078,-4.89710958368807E-5,3.44778206204525E-7,1,1.99338665628444,40.1327056884766,2.00191561365515,8.20000149309635,-0.000565353128093868,-7.74493098555237E-5,0.25,-2.24377902819612E-6,-4.92156029172747E-5,-2.40684063610875E-6,99.969368,99.9706192,9516.498,9569.658,53.300030354871,17.515876148644,41.7955322,0,0,0,4449,99.92255,9543.078,,,,,,,,,,,,,,,,,72.720528,,,,,,99.9699936,,,,
,10446440.31,99.9701996,9493.206,-4.89281689546406E-5,3.64948201333185E-7,1,1.99338665628444,40.1327056884766,2.00190482092008,8.20000149309635,-0.000564597829280604,-8.02141436106222E-5,0.25,-2.48619289779123E-6,-4.91717005413155E-5,-2.65037547004532E-6,99.96978,99.9706192,9469.914,9516.498,53.1390148799095,17.5157929615072,41.7955322,0,0,0,4449,99.922,9493.206,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9701996,,,,
,10446442.34,99.97028735,9443.9905,-4.84994282054462E-5,3.805964721826E-7,1,1.99338665628444,40.1327056884766,2.00193864101849,8.20000149309635,-0.000560037279862531,-7.53443111670352E-5,0.25,-2.10484516088546E-6,-4.87419334216713E-5,-2.26575269570823E-6,99.96978,99.9707947,9418.067,9469.914,53.2789263848518,17.5171367897001,41.3821449,0,0,0,4449,99.9211,9443.9905,,,,,,,,,,,,,,,,,72.720528,,,,,,99.97028735,,,,
,10446444.31,99.97073365,9395.3385,-4.80782417250652E-5,3.51698203314787E-7,1,1.99338665628444,40.1327056884766,2.00193243962471,8.20000149309635,-0.000555041285984487,-7.61321627801585E-5,0.25,-2.21097786342766E-6,-4.83182505172239E-5,-2.37113644301462E-6,99.9706726,99.9707947,9372.61,9418.067,53.3789748353133,17.5155542260026,41.59197805,0,0,0,4449,99.9202,9395.3385,,,,,,,,,,,,,,,,,73.854034,,,,,,99.97073365,,,,
,10446446.31,99.97101975,9346.78,-4.82156403766838E-5,3.78049850063182E-7,1,1.99338665628444,40.1327056884766,2.00195860586232,8.20000149309635,-0.000556735852883596,-7.52324380761491E-5,0.25,-2.12082758568166E-6,-4.84566290211621E-5,-2.28095706550118E-6,99.9706726,99.9713669,9320.95,9372.61,53.1210374239672,17.5184483320034,42.00536535,0,0,0,4449,99.91975,9346.78,,,,,,,,,,,,,,,,,73.476204,,,,,,99.97101975,,,,
,10446448.34,99.97169115,9295.215,-4.77707994754931E-5,3.99338191732234E-7,1,1.99338665628444,40.1327056884766,2.00194274959442,8.20000149309635,-0.000551591567132393,-7.45763993727083E-5,0.25,-2.10458812313192E-6,-4.8009550901142E-5,-2.26326300423492E-6,99.9713669,99.9720154,9269.48,9320.95,53.2773631278133,17.51747533337,41.7955322,0,0,0,4449,99.92055,9295.215,,,,,,,,,,,,,,,,,73.476204,,,,,,99.97169115,,,,
,10446450.31,99.97195055,9243.7455,-4.69482431295352E-5,3.79009496516917E-7,1,1.99338665628444,40.1327056884766,2.00189001604003,8.20000149309635,-0.000541909639298108,-7.51692170601126E-5,0.25,-2.23041701784818E-6,-4.71823800450596E-5,-2.38719487825838E-6,99.9718857,99.9720154,9218.011,9269.48,53.2070165610826,17.5174544005233,42.00536535,0,0,0,4449,99.92235,9243.7455,,,,,,,,,,,,,,,,,72.720528,,,,,,99.97195055,,,,
,10446452.265,99.97106555,9195.9405,-4.66163536645772E-5,4.20109413276356E-7,1,1.99338665628444,40.1327056884766,2.00188583060976,8.20000149309635,-0.000538162747636327,-7.36981220375131E-5,0.25,-2.13359670323108E-6,-4.68490843237452E-5,-2.28885553282975E-6,99.9702454,99.9718857,9173.87,9218.011,53.1163476528518,17.518163048808,42.00536535,0,0,0,4449,99.923,9195.9405,,,,,,,,,,,,,,,,,73.476204,,,,,,99.97106555,,,,
,10446454.265,99.97091675,9147.946,-4.66673655489804E-5,3.67468388132301E-7,1,1.99338665628444,40.1327056884766,2.00195127552938,8.20000149309635,-0.00053840741634731,-7.77695328019783E-5,0.25,-2.47996359451439E-6,-4.68992829576685E-5,-2.6371645196019E-6,99.9702454,99.9715881,9122.022,9173.87,53.0045747746017,17.5203678124485,41.7955322,0,0,0,4449,99.92345,9147.946,,,,,,,,,,,,,,,,,73.854034,,,,,,99.97091675,,,,
,10446456.275,99.97167585,9099.763,-4.58782583820266E-5,3.49439616609906E-7,1,1.99338665628444,40.1327056884766,2.00193496498869,8.21000156924129,-0.000529713233746713,-7.18836297752243E-5,0.25,-2.04379142250965E-6,-4.610747079806E-5,-2.19631642941629E-6,99.9715881,99.9717636,9077.504,9122.022,53.4000788053326,17.518991056597,42.00536535,0,0,0,4449,99.9237,9099.763,,,,,,,,,,,,,,,,,73.098366,,,,,,99.97167585,,,,
,10446458.3,99.9721756,9052.4255,-4.57817333330618E-5,3.61612532196332E-7,1,1.99338665628444,40.1327056884766,2.00189697834212,8.20000149309635,-0.000528546728805795,-7.21968515935401E-5,0.25,-2.07966590603988E-6,-4.60103358923826E-5,-2.23208168060461E-6,99.9717636,99.9725876,9027.347,9077.504,53.5610942802941,17.5192304913311,42.00536535,0,0,0,4449,99.92425,9052.4255,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9721756,,,,
,10446460.29,99.9718857,9002.458,-4.54554087203754E-5,3.50067907440242E-7,1,1.99338665628444,40.1327056884766,2.00191078195457,8.20000149309635,-0.00052467599343418,-7.28618977686514E-5,0.25,-2.16655390914377E-6,-4.56820644666538E-5,-2.31841075912962E-6,99.9711838,99.9725876,8977.569,9027.347,53.2343735592556,17.5189859257081,42.00536535,0,0,0,4449,99.925,9002.458,,,,,,,,,,,,,,,,,73.854034,,,,,,99.9718857,,,,
,10446462.305,99.9722557,8952.8665,-4.5036307792781E-5,4.17706250472375E-7,1,1.99338665628444,40.1327056884766,2.00191564765331,8.20000149309635,-0.000519661825896054,-7.41529133130817E-5,0.25,-2.31587195696731E-6,-4.526034666569E-5,-2.46720283808961E-6,99.9711838,99.9733276,8928.164,8977.569,53.0241154875825,17.5201977694826,42.00536535,0,0,0,4449,99.9258,8952.8665,,,,,,,,,,,,,,,,,73.854034,,,,,,99.9722557,,,,
,10446464.36,99.97351835,8905.341,-4.47470250778311E-5,3.97683270543701E-7,1,1.99338665628444,40.1327056884766,2.00196539035879,8.20000149309635,-0.000516224238898064,-7.49154641201755E-5,0.25,-2.40769872006265E-6,-4.49692899586428E-5,-2.55861188498094E-6,99.9733276,99.9737091,8882.518,8928.164,52.9787810334671,17.5184854275181,42.00536535,0,0,0,4449,99.9258,8905.341,,,,,,,,,,,,,,,,,73.098366,,,,,,99.97351835,,,,
,10446466.28,99.9728775,8861.0095,-4.43823449264314E-5,3.58799056478521E-7,1,1.99338665628444,40.1327056884766,2.00193196922003,8.20000149309635,-0.000511981116452444,-7.46085051536552E-5,0.25,-2.41436146856393E-6,-4.46027137833709E-5,-2.56418684498441E-6,99.9720459,99.9737091,8839.501,8882.518,53.1147843958133,17.5185834259398,42.00536535,0,0,0,4449,99.92535,8861.0095,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9728775,,,,
,10446468.235,99.97245025,8814.801,-4.41781281038505E-5,3.89527775143864E-7,1,1.99338665628444,40.1327056884766,2.0019424347839,8.20000149309635,-0.000509707893391571,-7.3382883534965E-5,0.25,-2.32710696719667E-6,-4.43977172177743E-5,-2.4758557026327E-6,99.9720459,99.9728546,8790.101,8839.501,53.2961222122749,17.519758972752,42.00536535,0,0,0,4449,99.9265,8814.801,,,,,,,,,,,,,,,,,73.098366,,,,,,99.97245025,,,,
,10446470.27,99.97377015,8766.056,-4.38900437868294E-5,3.2150300681196E-7,1,1.99338665628444,40.1327056884766,2.00196158741454,8.20000149309635,-0.000506535622878266,-7.12843372503316E-5,0.25,-2.17212629161496E-6,-4.41086294546789E-5,-2.31919366905167E-6,99.9728546,99.9746857,8742.011,8790.101,53.5298291395249,17.5194213613051,42.2151985,0,0,0,4449,99.9266,8766.056,,,,,,,,,,,,,,,,,72.720528,,,,,,99.97377015,,,,
