[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,TS100928Si1 ZFC AC susceptibility measurement
FILEOPENTIME,11728170.84,11/09/2012,4:35 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11728222.34,305.0269737375,0.127,90,5.00143567077799,,1.524919615667E-7,-1.0267186570582E-6,5.06210294621058E-9,1.02673113600282E-6,179.717512891977,1.50350255872555E-8,-9.32100693518766E-13,1.50350256161485E-8,-0.00355206816522013,1440,125,5,13.4965986394558,-0.108681950857068,1.41236177536837E-5,4374,0,304.9956665,305.0447388,0.127,0.127,,304.4478125,,,,,,,,,,,,,,,,,,,,,,,305.0269737375
,11728287.67,304.9881591625,0.127,90,5.00133238864126,,8.22228747557568E-7,-1.20438039413073E-6,6.12976063379842E-8,1.20593927306032E-6,177.086413617531,1.50290700058342E-8,-2.4075316114117E-12,1.50290701986674E-8,-0.00917830571984268,1440,125,5,13.4965986394558,-0.108681950857068,6.2550891611764E-6,4374,0,304.9434814,305.0386353,0.127,0.127,,299.689675,,,,,,,,,,,,,,,,,,,,,,,304.9881591625
,11728347.12,304.50398255,0.127,90,4.99896226548373,,2.62028874609395E-7,-1.22419212385314E-6,7.87741008804363E-8,1.22672397672565E-6,176.318217241277,1.50341396096826E-8,-1.19725942581324E-12,1.50341396573551E-8,-0.00456280929387276,1440,125,5,13.4965986394558,-0.108681950857068,1.29723616814681E-5,4374,0,304.2855225,304.6985168,0.127,0.127,,292.16425,,,,,,,,,,,,,,,,,,,,,,,304.50398255
,11728407.11,303.107547775,0.127,90,4.99926724560368,,4.16870942142071E-7,-1.46579121848604E-6,2.35545846635287E-8,1.46598046189213E-6,179.079362651934,1.5042991677864E-8,-6.75193586100102E-13,1.50429916930168E-8,-0.00257167880170073,1440,125,5,13.4965986394558,-0.108681950857068,1.94222793506648E-5,4374,0,302.6508789,303.5158691,0.127,0.127,,283.959975,,,,,,,,,,,,,,,,,,,,,,,303.107547775
,11728468.03,300.5872230625,0.127,90,4.99978618150438,,4.46026060852995E-7,-1.478007763967E-6,1.56136745782503E-8,1.47809023309829E-6,179.394749877779,1.50696601010664E-8,-3.5322837746435E-12,1.50696605150448E-8,-0.0134299610784865,1440,125,5,13.4965986394558,-0.108681950857068,2.43101998498524E-5,4374,0,299.8965149,301.2389221,0.127,0.127,,275.3774,,,,,,,,,,,,,,,,,,,,,,,300.5872230625
,11728526.99,297.02271655,0.127,90,5.00045553705574,,2.54141853362244E-7,-1.99155099799042E-6,4.74260766586336E-10,1.9915510544598E-6,179.986355790121,1.50654269027895E-8,-5.26935846572428E-12,1.50654278243079E-8,-0.0200400553176792,1440,125,5,13.4965986394558,-0.108681950857068,2.86764885738478E-5,4374,0,296.0704041,297.9138184,0.127,0.127,,267.0882875,,,,,,,,,,,,,,,,,,,,,,,297.02271655
,11728588.19,292.3124465875,0.127,90,5.00147019799301,,4.76401381320115E-7,-2.12778708375692E-6,1.74565936895225E-7,2.13493586323498E-6,175.309896530405,1.50587977277747E-8,-4.27499063304077E-12,1.5058798334581E-8,-0.0162655026369976,1440,125,5,13.4965986394558,-0.108681950857068,3.33109653686639E-5,4374,0,291.1537476,293.4262695,0.127,0.127,,258.690425,,,,,,,,,,,,,,,,,,,,,,,292.3124465875
,11728647.50,286.8674507125,0.127,90,4.99836524006876,,3.51176233401802E-7,-1.64888816022603E-6,9.26938730050807E-8,1.65149154373441E-6,176.782447843774,1.50698361651342E-8,-4.0915896829871E-12,1.5069836720585E-8,-0.0155562948398824,1440,125,5,13.4965986394558,-0.108681950857068,3.71587378347022E-5,4374,0,285.5868225,288.1540222,0.127,0.127,,253.80225,,,,,,,,,,,,,,,,,,,,,,,286.8674507125
,11728706.87,281.1023979125,0.127,90,5.00054281129754,,3.24660074257951E-7,-1.73426393971963E-6,1.07693341280064E-7,1.73760446257712E-6,176.446641759499,1.50739010949938E-8,-5.80398134331022E-12,1.50739022123621E-8,-0.0220608863502321,1440,125,5,13.4965986394558,-0.108681950857068,3.99316206277266E-5,4374,0,279.7709045,282.360199,0.127,0.127,,248.9311,,,,,,,,,,,,,,,,,,,,,,,281.1023979125
,11728767.07,275.086948375,0.127,90,4.99953889066566,,1.44504831304678E-7,-2.00854772245284E-6,1.10410608886785E-7,2.01158008936389E-6,176.853596530508,1.50827620561628E-8,-6.96997230330203E-12,1.50827636666275E-8,-0.0264772437825513,1440,125,5,13.4965986394558,-0.108681950857068,2.74924108898311E-5,4374,0,273.7507629,276.3956909,0.127,0.127,,244.47875,,,,,,,,,,,,,,,,,,,,,,,275.086948375
