[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,SAMPLE S4 M VS H AT 3 KELVIN
FILEOPENTIME,2827018.81,06/20/2017,5:24 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc,SAMPLE_MATERIAL
INFO,SF20170517 S4,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.03,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2827484.775,3.0017557,18605.046,-4.15246493959003E-6,9.01641549241199E-7,1,0.999253354069792,40.0298881530762,1.98022928231065,9.29000187665224,-4.19731050814186E-5,-3.3596973424268E-5,0.25,-2.24481870186852E-6,-4.11841506461093E-6,-2.25915450514779E-6,3.0017557,3.0017557,18582.035,18628.057,51.5179173310247,18.3337732019545,0.6047974,0,0,0,4961,2.9935,18605.046,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0017557,,,,
,2827486.485,3.0029383,18406.494,-3.17767880263278E-6,9.55684798589633E-7,1,0.999253354069792,40.0298881530762,1.9802547519873,9.28000226616859,-3.09985465555679E-5,-3.18940234810026E-5,0.25,-2.26970622704328E-6,-3.14822461489061E-6,-2.27788691637115E-6,3.0029383,3.0029383,18396.258,18416.73,52.1322773471401,18.3343084095487,0.610839,0,0,0,4961,2.9941,18406.494,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0029383,,,,
,2827487.255,3.00306465,18314.262,-2.46791553354434E-6,1.00793399443883E-6,1,0.999253354069792,40.0298881530762,1.98015974053273,9.28000226616859,-2.38052798467838E-5,-2.62480503020634E-5,0.25,-1.89476171611828E-6,-2.44422644040692E-6,-1.90043379305205E-6,3.0029383,3.003191,18232.266,18396.258,51.1935414955439,18.3333044353299,0.610839,0,0,0,4961,2.99305,18314.262,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00306465,,,,
,2827488.545,3.00207735,18177.886,-1.6333932654416E-6,1.58267744341899E-6,1,0.999253354069792,40.0298881530762,1.98027108377892,9.28000226616859,-1.44312766931103E-5,-2.46804126259846E-5,0.25,-1.9061244609068E-6,-1.61374461188526E-6,-1.90662489546186E-6,3.0009637,3.003191,18123.506,18232.266,51.3131306589862,18.3344733912072,0.6139054,0,0,0,4961,2.9927,18177.886,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00207735,,,,
,2827490.76,3.0021043,17941.483,-7.381616135698E-7,2.17922682559396E-6,1,0.999253354069792,40.0298881530762,1.98021216324391,9.28000226616859,-4.80411798960999E-6,-2.06251894579621E-5,0.25,-1.70670090124981E-6,-7.24158863702906E-7,-1.70269980243139E-6,3.0021043,3.0021043,17919.691,17963.275,51.7867975416401,18.3338464976796,0.6078638,0,0,0,4961,2.9942,17941.483,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0021043,,,,
,2827492.355,3.0024413,17772.613,-2.40695894481137E-7,1.66323883875709E-7,1,0.999253354069792,40.0298881530762,1.98016731407194,9.28000226616859,1.97336987376103E-6,-2.62495544394363E-5,0.25,-2.29889207153587E-6,-2.25597879215336E-7,-2.28889837238286E-6,3.0023432,3.0025394,17761.529,17783.697,51.6789328059862,18.3306319022895,0.610839,0,0,0,4961,2.994,17772.613,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0024413,,,,
,2827494.125,3.0020051,17582.889,9.59036549045651E-7,2.73438693690494E-7,1,0.999253354069792,40.0298881530762,1.98023589763292,9.28000226616859,1.46525018723346E-5,-1.95953587467509E-5,0.25,-1.92253966387004E-6,9.65842326626454E-7,-1.90714455635094E-6,3.0020051,3.0020051,17582.889,17582.889,51.3842588542362,18.3331665497866,0.5987558,0,0,0,4961,2.9935,17582.889,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0020051,,,,
,2827495.875,3.0017178,17395.327,2.40551776420799E-6,3.80763602588845E-7,1,0.999253354069792,40.0298881530762,1.98021114828194,9.28000226616859,3.10851207601176E-5,-1.78963292556494E-5,0.25,-2.03316765101542E-6,2.40569302763731E-6,-2.00848750724797E-6,3.0017178,3.0017178,17385.09,17405.564,51.7266121456593,18.332266506504,0.610839,0,0,0,4961,2.9935,17395.327,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0017178,,,,
,2827497.545,3.00168395,17200.627,2.95052122978394E-6,3.21752915778367E-7,1,0.999253354069792,40.0298881530762,1.98015402720301,9.28000226616859,3.64129398179162E-5,-1.25008848438187E-5,0.25,-1.65047570051334E-6,2.94558317987028E-6,-1.62444293267777E-6,3.0015423,3.0018256,17186.352,17214.902,51.4530421639285,18.333956969784,0.6139054,0,0,0,4961,2.9942,17200.627,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00168395,,,,
,2827499.45,3.0016795,17017.477,4.2211244881355E-6,5.30942716938817E-7,1,0.999253354069792,40.0298881530762,1.98025155544916,9.28000226616859,5.1277720431815E-5,-1.33759428404614E-5,0.25,-1.95879292586059E-6,4.21154562219354E-6,-1.92359474787917E-6,3.0015411,3.0018179,17017.477,17017.477,51.3350162575247,18.3370115950237,0.610839,0,0,0,4961,2.99395,17017.477,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0016795,,,,
